year,RC_growth,LWID_growth,WA_growth,RF_growth,WF_growth,WS_growth,CALC_growth,MF_growth,WJ_LWID_growth,WJ_WA_growth,WJ_RF_growth,WJ_WF_growth,WJ_WS_growth,WJ_MF_growth,WJ_CALC_growth,ITBS_RC_growth,ITBS_LANG_growth,ITBS_MATH_growth,ITBS_CAP_growth,ITBS_PUNC_growth,ITBS_UE_growth,ITBS_CE_growth,ITBS_PSDI_growth,Edit_growth,SC_growth,Comp_growth,MC_growth,Math_growth,id
2008-2009,1.4,-0.7999999999999998,7.800000000000001,1.6999999999999993,1.7999999999999998,6.199999999999999,0,3.1999999999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
2008-2009,0.8999999999999999,0.40000000000000036,2.5,3.999999999999999,0.9000000000000004,3,0.5999999999999996,6.799999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141
2008-2009,1.6000000000000005,0.5,2,1,10.3,2.0999999999999996,0,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
2008-2009,-0.09999999999999964,0,3.6,6.3999999999999995,-2.3000000000000007,6.199999999999999,1,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196
2008-2009,-1.5,-0.40000000000000036,0,2.0999999999999996,0.39999999999999947,-2.2,4.5,2.3999999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206
2008-2009,6,0.9000000000000004,0,1.9000000000000004,1.1000000000000005,0.7999999999999989,0.5,2.0999999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2008-2009,0.2999999999999998,-0.1999999999999993,-0.39999999999999947,3.5,3.8,2.5,2,3.200000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264
2008-2009,-4.4,3.9000000000000004,2.5999999999999996,-2.0999999999999996,0.39999999999999947,-6.799999999999999,-1.5999999999999996,-0.40000000000000036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245
2008-2009,2,0.9999999999999996,0.6999999999999997,2.8999999999999995,1.9000000000000004,2.7,0,3.000000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249
2008-2009,3.6,0.5999999999999996,0.09999999999999964,3.1000000000000014,7.9,0.5,2.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220
2008-2009,-1.2000000000000002,0.8000000000000007,8,0.9000000000000004,-1.4999999999999998,-2.8,-0.09999999999999964,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151
2008-2009,1.1000000000000005,1.6000000000000005,2.2,1.4000000000000004,9.6,-0.5,0.7999999999999998,0.1999999999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
2008-2009,1.6,0.5,1.9,1.3999999999999995,2.1,0,1.1999999999999997,4.800000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
2008-2009,1.6999999999999993,-0.7000000000000002,1,0.10000000000000142,-0.6000000000000005,5.3999999999999995,3.1000000000000005,5.300000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
2008-2009,2.4000000000000004,1.4000000000000004,0.7999999999999998,3.5,2.1999999999999993,0.7999999999999989,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279
2008-2009,2.6999999999999997,0.5,0.9000000000000001,1.5,0,1.2999999999999998,0.7999999999999998,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240
2008-2009,5.1,2.4000000000000004,1.2999999999999998,2,1.1000000000000005,1.3999999999999986,1.3999999999999995,0.10000000000000053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203
2008-2009,-2.6999999999999993,-1.5,6.800000000000001,4.199999999999999,4.4,5.1,10,1.2999999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
